trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2020-06-21 23:59:05,6564459919350820,fraud_Lemke-Gutmann,shopping_net,955.16,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,1799ffe421a2a05dc87903e379140f55,1371859145,43.027879,-90.493768,1
2020-06-21 23:59:20,3534330126107879,"fraud_Bahringer, Bergnaum and Quitzon",home,75.63,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1978-01-15,c10e1eae8857ad3ef580dfc2f3056dae,1371859160,45.853662,-109.444386,0
2020-06-22 00:00:15,4.66199614429181E+018,fraud_Heller-Langosh,gas_transport,66.75,Linda,Park,F,24607 Charles Mountains,Fenelton,PA,16034,40.8555,-79.7372,2054,Operations geologist,1963-08-04,a563f1ac90cedc803fb4ab036f303d2b,1371859215,40.727315,-80.509524,0
2020-06-22 00:00:27,213113028819344,fraud_Hintz-Bruen,grocery_net,99.94,Melanie,Jimenez,F,77944 Daniels Valley Suite 921,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27,f8034a466492844ef807d418d8f7b308,1371859227,42.7531,-75.137688,0
2020-06-22 00:05:48,6511349151405438,fraud_Schmidt and Sons,shopping_net,9.59,Robert,Nguyen,M,74835 Garner Point,Ruth,NV,89319,39.3426,-114.8859,450,Interpreter,1946-08-24,5be6e71756b6a1f9a21f89caf7a24754,1371859548,39.961316,-115.412487,0
2020-06-22 00:06:21,4.31136832662142E+018,fraud_Eichmann-Russel,misc_pos,1.23,Phillip,Delacruz,M,26678 Lisa Locks Apt. 904,Iliff,CO,80736,40.7692,-103.0968,648,Community arts worker,1969-09-21,d5f7c3a16db2f741453afd04aba7fa5c,1371859581,40.058627,-104.067801,0
2020-06-22 00:06:21,2706977570537524,"fraud_Rodriguez, Yost and Jenkins",misc_net,91.61,David,Serrano,M,4739 Martin Common,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,1978-12-18,cc8a947a84162d0f60750c36ece25fa9,1371859581,38.957911,-83.318206,0
2020-06-22 00:06:40,4005676619255478,"fraud_Rodriguez, Yost and Jenkins",misc_net,701.81,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,720905fa777ec90291cfd002fd12d67f,1371859600,30.652786,-90.206798,1
2020-06-22 01:54:33,3524574586339330,"fraud_Osinski, Ledner and Leuschke",grocery_pos,353.08,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,7220be6f2a92f9c1056d2bcf46c986bd,1371866073,28.256217,-80.914551,1
2020-06-22 01:54:52,4066595222529,fraud_Klocko LLC,misc_net,2.67,Jamie,Olson,F,3423 Michael Canyon Suite 276,River,KY,41254,37.8795,-82.7251,571,Quarry manager,1931-03-07,a6b7abcd743584f3a2c443d29cc402a3,1371866092,38.158571,-82.074403,0
2020-06-22 03:38:35,4005676619255478,"fraud_Kerluke, Considine and Macejkovic",misc_net,868.48,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,2316b3d5045b9dcba383d5c27031ea4a,1371872315,30.283263,-90.606406,1
2020-06-22 03:38:36,6011652924285713,fraud_Erdman-Kertzmann,gas_transport,60.74,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,1988-10-26,255e6b408095d51d6c42130a2d1a080c,1371872316,37.800711,-93.014481,0
2020-06-22 03:39:01,379897244598068,fraud_Nader-Heller,misc_net,4.86,Frank,Key,M,5537 Jessica Plaza,Pewee Valley,KY,40056,38.3039,-85.4834,3263,Stage manager,1930-02-28,3d35eb2d02e753357450b025b96a69d7,1371872341,38.5155,-86.411685,0
2020-06-22 03:48:20,3524574586339330,fraud_Skiles-Ankunding,grocery_net,13.25,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,d40a602f3d62fc3849bacd25c413952b,1371872900,27.874482,-80.381534,1
2020-06-22 03:49:12,4.22621972688685E+018,fraud_Bahringer-Larson,grocery_net,41.36,Jessica,Bell,F,669 Moore Shoal,Bethel,OH,45106,38.9424,-84.092,12349,Field trials officer,1985-07-08,97f6a5b869e944ea8f4a2fb52bd81295,1371872952,38.310753,-83.178116,0
2020-06-22 03:55:36,3524574586339330,fraud_Kuhn LLC,shopping_pos,777.45,Ashley,Cabrera,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,27.633,-80.4031,105638,"Librarian, public",1986-05-07,20ffa4abb3d483d9558c33640be75066,1371873336,27.913215,-80.423565,1
